,feedback_id,shipment_id,customer_id,delivery_time,delivery_rating,issue_reported,issue_type,complaint_status
0,FD8969,SHIP7770,CUST747,6,3,True,Wrong Address,Pending
1,FD15977,SHIP23248,CUST539,1,1,False,,
2,FD164,SHIP11172,CUST327,3,4,True,Lost,Unresolved
3,FD24984,SHIP3414,CUST729,3,5,True,Damage,Resolved
4,FD13944,SHIP24348,CUST668,7,1,True,Lost,Pending
5,FD4964,SHIP15707,CUST381,1,2,True,Wrong Address,Pending
6,FD8532,SHIP23930,CUST300,1,5,False,,
7,FD13840,SHIP8926,CUST117,1,5,True,Damage,Resolved
8,FD20383,SHIP17908,CUST476,2,4,True,Delay,Resolved
9,FD24607,SHIP20936,CUST301,4,4,True,Delay,Resolved
10,FD17026,SHIP1172,CUST76,5,2,False,,
11,FD18884,SHIP1340,CUST186,3,1,False,,
12,FD22651,SHIP12294,CUST29,4,2,True,Delay,Unresolved
13,FD7804,SHIP7015,CUST44,1,1,True,Lost,Unresolved
14,FD17699,SHIP2322,CUST421,6,1,False,,
15,FD1581,SHIP4860,CUST81,2,1,True,Damage,Unresolved
16,FD14380,SHIP6142,CUST86,13,2,False,,
17,FD24904,SHIP16001,CUST539,3,1,True,Lost,Resolved
18,FD20240,SHIP18451,CUST110,7,2,False,,
19,FD23180,SHIP15116,CUST561,13,3,False,,
20,FD14677,SHIP20257,CUST422,13,3,True,Wrong Address,Pending
21,FD4979,SHIP14086,CUST270,10,1,True,Wrong Address,Resolved
22,FD12095,SHIP18187,CUST366,2,1,True,Wrong Address,Unresolved
23,FD19897,SHIP23138,CUST581,14,4,False,,
24,FD19124,SHIP15421,CUST497,10,1,True,Wrong Address,Unresolved
25,FD9869,SHIP4061,CUST399,4,2,False,,
26,FD19457,SHIP14634,CUST572,9,2,True,Delay,Unresolved
27,FD7021,SHIP3363,CUST482,14,1,True,Wrong Address,Pending
28,FD20739,SHIP2408,CUST212,3,4,True,Wrong Address,Resolved
29,FD21295,SHIP24992,CUST32,1,5,True,Wrong Address,Unresolved
30,FD8510,SHIP13736,CUST651,8,1,False,,
31,FD6973,SHIP24708,CUST255,9,1,True,Lost,Resolved
32,FD17692,SHIP13190,CUST17,4,1,True,Delay,Unresolved
33,FD18889,SHIP2524,CUST398,6,2,True,Lost,Resolved
34,FD11381,SHIP17431,CUST315,13,5,False,,
35,FD8237,SHIP7906,CUST130,3,1,True,Lost,Unresolved
36,FD13361,SHIP21587,CUST94,1,3,False,,
37,FD4525,SHIP3376,CUST335,5,2,True,Wrong Address,Pending
38,FD19890,SHIP20619,CUST416,11,5,True,Damage,Resolved
39,FD4774,SHIP14738,CUST714,7,4,True,Lost,Resolved
40,FD17843,SHIP7697,CUST484,12,1,True,Damage,Unresolved
41,FD3153,SHIP5309,CUST453,7,5,True,Damage,Unresolved
42,FD20291,SHIP5824,CUST583,7,3,True,Lost,Pending
43,FD22369,SHIP8207,CUST655,12,5,True,Delay,Resolved
44,FD13833,SHIP6935,CUST544,4,1,False,,
45,FD1292,SHIP4510,CUST590,2,3,True,Delay,Unresolved
46,FD24348,SHIP21372,CUST311,13,5,False,,
47,FD19703,SHIP12839,CUST737,3,5,True,Wrong Address,Pending
48,FD24198,SHIP10065,CUST406,11,4,True,Lost,Resolved
49,FD3386,SHIP21457,CUST679,4,4,False,,
50,FD24857,SHIP21436,CUST136,7,4,False,,
51,FD5569,SHIP5657,CUST661,6,4,True,Wrong Address,Pending
52,FD11599,SHIP24067,CUST247,12,4,False,,
53,FD10131,SHIP433,CUST390,7,4,False,,
54,FD1251,SHIP13269,CUST49,5,5,True,Delay,Resolved
55,FD4520,SHIP12786,CUST413,5,3,False,,
56,FD7187,SHIP13141,CUST587,5,4,True,Delay,Resolved
57,FD20388,SHIP14931,CUST261,12,4,True,Lost,Unresolved
58,FD10315,SHIP7434,CUST249,2,3,True,Damage,Unresolved
59,FD6104,SHIP10410,CUST174,4,3,True,Lost,Pending
60,FD4785,SHIP21122,CUST128,13,3,False,,
61,FD18927,SHIP1756,CUST571,3,5,True,Delay,Unresolved
62,FD6766,SHIP14599,CUST724,14,3,True,Delay,Unresolved
63,FD14685,SHIP17739,CUST193,12,3,False,,
64,FD3174,SHIP5697,CUST549,9,5,True,Delay,Unresolved
65,FD21831,SHIP17395,CUST299,1,1,True,Wrong Address,Unresolved
66,FD926,SHIP10795,CUST408,10,4,False,,
67,FD20669,SHIP24520,CUST150,14,5,False,,
68,FD7528,SHIP8567,CUST621,4,3,True,Damage,Resolved
69,FD18585,SHIP3398,CUST458,10,1,True,Wrong Address,Unresolved
70,FD22351,SHIP1711,CUST46,2,4,False,,
71,FD18690,SHIP9801,CUST725,3,2,True,Wrong Address,Resolved
72,FD19441,SHIP24683,CUST398,1,1,False,,
73,FD118,SHIP12516,CUST390,1,2,True,Damage,Pending
74,FD20092,SHIP8985,CUST294,6,3,True,Delay,Unresolved
75,FD18084,SHIP17547,CUST519,8,1,True,Damage,Unresolved
76,FD3662,SHIP23584,CUST716,2,5,False,,
77,FD16398,SHIP7425,CUST420,14,3,True,Wrong Address,Pending
78,FD13949,SHIP9602,CUST9,10,5,False,,
79,FD17552,SHIP16071,CUST374,5,1,True,Lost,Unresolved
80,FD20353,SHIP5360,CUST577,1,5,False,,
81,FD8747,SHIP5454,CUST56,8,1,False,,
82,FD4015,SHIP24992,CUST32,9,1,False,,
83,FD3377,SHIP13778,CUST24,4,4,True,Delay,Unresolved
84,FD17599,SHIP15889,CUST484,9,2,True,Delay,Unresolved
85,FD16048,SHIP3165,CUST332,13,3,False,,
86,FD12280,SHIP19128,CUST27,3,3,False,,
87,FD6729,SHIP10984,CUST176,9,2,True,Delay,Resolved
88,FD24442,SHIP9354,CUST486,14,4,True,Lost,Unresolved
89,FD24728,SHIP9282,CUST267,5,4,False,,
90,FD12766,SHIP13374,CUST371,5,3,False,,
91,FD15450,SHIP4183,CUST516,2,1,False,,
92,FD10449,SHIP12683,CUST617,12,5,True,Delay,Resolved
93,FD7339,SHIP19629,CUST147,4,5,False,,
94,FD14776,SHIP16515,CUST157,13,1,False,,
95,FD13864,SHIP9280,CUST102,9,2,True,Damage,Resolved
96,FD16614,SHIP7763,CUST502,11,4,False,,
97,FD2612,SHIP15176,CUST29,1,5,True,Wrong Address,Resolved
98,FD15840,SHIP3535,CUST624,1,4,False,,
99,FD9892,SHIP7946,CUST598,7,4,False,,
100,FD12734,SHIP20926,CUST613,4,2,False,,
101,FD8429,SHIP19,CUST27,8,4,False,,
102,FD20450,SHIP5978,CUST26,2,1,False,,
103,FD18882,SHIP3545,CUST517,7,2,True,Damage,Unresolved
104,FD1546,SHIP6475,CUST86,3,1,False,,
105,FD24476,SHIP1487,CUST623,10,4,False,,
106,FD8794,SHIP7919,CUST327,14,5,False,,
107,FD7040,SHIP3475,CUST585,5,2,True,Delay,Unresolved
108,FD8900,SHIP22306,CUST486,4,5,True,Wrong Address,Pending
109,FD13564,SHIP21717,CUST640,11,4,True,Delay,Resolved
110,FD10373,SHIP23192,CUST634,10,5,False,,
111,FD2299,SHIP7293,CUST432,7,5,True,Damage,Pending
112,FD24472,SHIP2749,CUST116,3,1,True,Lost,Pending
113,FD5532,SHIP20958,CUST280,4,2,False,,
114,FD23285,SHIP15160,CUST540,2,3,False,,
115,FD23033,SHIP6359,CUST319,11,5,False,,
116,FD17743,SHIP9829,CUST720,6,5,True,Damage,Resolved
117,FD24502,SHIP106,CUST487,14,1,False,,
118,FD20349,SHIP14977,CUST336,3,5,False,,
119,FD18978,SHIP12965,CUST466,3,3,True,Wrong Address,Pending
120,FD21538,SHIP16602,CUST375,5,5,True,Lost,Unresolved
121,FD7118,SHIP7537,CUST240,1,5,True,Wrong Address,Resolved
122,FD9813,SHIP5670,CUST740,11,2,False,,
123,FD17129,SHIP22040,CUST294,3,4,False,,
124,FD22438,SHIP9780,CUST453,3,5,True,Wrong Address,Resolved
125,FD17767,SHIP19152,CUST658,2,2,False,,
126,FD10668,SHIP17097,CUST335,9,5,True,Delay,Resolved
127,FD21216,SHIP3560,CUST128,13,2,True,Lost,Unresolved
128,FD21671,SHIP11625,CUST293,9,4,False,,
129,FD22629,SHIP20565,CUST436,9,4,False,,
130,FD1512,SHIP14645,CUST723,5,2,False,,
131,FD23188,SHIP17011,CUST162,11,5,True,Lost,Pending
132,FD7064,SHIP1220,CUST496,6,2,True,Wrong Address,Pending
133,FD9480,SHIP15127,CUST174,10,1,True,Damage,Pending
134,FD13362,SHIP16145,CUST550,4,5,True,Delay,Pending
135,FD15439,SHIP22084,CUST271,8,2,False,,
136,FD12943,SHIP18766,CUST585,5,5,True,Lost,Unresolved
137,FD7348,SHIP13194,CUST346,13,3,False,,
138,FD10402,SHIP19007,CUST217,10,4,True,Damage,Unresolved
139,FD15775,SHIP19166,CUST174,10,1,True,Delay,Pending
140,FD21744,SHIP11030,CUST492,11,4,False,,
141,FD3938,SHIP7095,CUST560,4,2,True,Delay,Pending
142,FD3461,SHIP8804,CUST48,1,3,False,,
143,FD15814,SHIP17511,CUST585,11,3,False,,
144,FD15157,SHIP22385,CUST303,8,2,True,Wrong Address,Resolved
145,FD6627,SHIP12979,CUST128,2,3,True,Damage,Resolved
146,FD11828,SHIP23965,CUST448,4,3,False,,
147,FD2830,SHIP4313,CUST716,10,5,True,Damage,Unresolved
148,FD6055,SHIP14499,CUST470,5,4,True,Lost,Pending
149,FD3739,SHIP2074,CUST426,12,5,False,,
150,FD5332,SHIP15112,CUST81,10,4,False,,
151,FD590,SHIP19629,CUST147,8,5,False,,
152,FD18358,SHIP12654,CUST110,12,2,True,Wrong Address,Unresolved
153,FD13286,SHIP5282,CUST43,2,5,True,Damage,Unresolved
154,FD3365,SHIP13451,CUST135,2,3,True,Delay,Pending
155,FD1896,SHIP10295,CUST332,13,4,False,,
156,FD24791,SHIP15973,CUST492,10,1,False,,
157,FD8629,SHIP12224,CUST552,2,4,False,,
158,FD19207,SHIP16005,CUST138,13,4,False,,
159,FD20340,SHIP23091,CUST279,7,2,False,,
160,FD11599,SHIP3083,CUST383,12,2,False,,
161,FD18974,SHIP1211,CUST365,13,1,False,,
162,FD14528,SHIP10153,CUST35,3,1,True,Wrong Address,Pending
163,FD9675,SHIP22592,CUST549,5,1,True,Damage,Unresolved
164,FD12684,SHIP21603,CUST689,9,5,True,Delay,Resolved
165,FD15849,SHIP15137,CUST394,14,5,True,Damage,Resolved
166,FD12310,SHIP17272,CUST35,14,2,False,,
167,FD22132,SHIP4391,CUST521,3,5,True,Lost,Pending
168,FD14822,SHIP11539,CUST528,9,4,True,Lost,Unresolved
169,FD503,SHIP16581,CUST679,11,3,False,,
170,FD1916,SHIP13134,CUST416,8,4,True,Delay,Unresolved
171,FD21209,SHIP13418,CUST598,3,4,True,Damage,Resolved
172,FD12746,SHIP23805,CUST434,11,5,False,,
173,FD20363,SHIP10984,CUST176,11,3,True,Delay,Resolved
174,FD21965,SHIP18782,CUST700,5,2,False,,
175,FD20370,SHIP6925,CUST81,12,5,True,Wrong Address,Pending
176,FD7578,SHIP19421,CUST157,5,3,True,Wrong Address,Resolved
177,FD621,SHIP6992,CUST338,13,1,True,Damage,Pending
178,FD7589,SHIP24888,CUST747,12,2,True,Delay,Unresolved
179,FD4360,SHIP1528,CUST153,3,5,False,,
180,FD4778,SHIP16163,CUST403,12,1,False,,
181,FD9079,SHIP17904,CUST496,11,5,False,,
182,FD8863,SHIP24833,CUST688,1,5,True,Lost,Pending
183,FD6164,SHIP4541,CUST656,7,3,True,Wrong Address,Pending
184,FD6847,SHIP13676,CUST707,11,5,False,,
185,FD12381,SHIP15232,CUST125,7,5,True,Lost,Unresolved
186,FD8408,SHIP4814,CUST416,5,5,True,Lost,Pending
187,FD16230,SHIP10432,CUST346,2,5,False,,
188,FD13085,SHIP5497,CUST557,2,5,True,Damage,Pending
189,FD10726,SHIP16739,CUST650,1,2,False,,
190,FD9549,SHIP21170,CUST714,12,3,False,,
191,FD23532,SHIP16364,CUST453,11,5,False,,
192,FD9428,SHIP20237,CUST747,2,2,False,,
193,FD10898,SHIP18460,CUST37,1,3,True,Damage,Pending
194,FD9239,SHIP2471,CUST631,2,3,False,,
195,FD3241,SHIP1928,CUST745,5,2,True,Damage,Unresolved
196,FD10323,SHIP21601,CUST670,9,4,False,,
197,FD8879,SHIP14202,CUST241,12,1,False,,
198,FD17947,SHIP2739,CUST162,10,3,False,,
199,FD8033,SHIP3581,CUST336,13,1,True,Wrong Address,Unresolved
200,FD18095,SHIP13706,CUST53,5,5,False,,
201,FD961,SHIP6924,CUST454,5,4,False,,
202,FD10536,SHIP9918,CUST137,4,2,True,Damage,Unresolved
203,FD22096,SHIP21512,CUST50,9,4,True,Lost,Pending
204,FD7508,SHIP23308,CUST375,9,2,False,,
205,FD6668,SHIP6016,CUST732,3,1,False,,
206,FD21092,SHIP15417,CUST526,12,5,False,,
207,FD11452,SHIP10495,CUST189,7,3,True,Wrong Address,Resolved
208,FD16629,SHIP3033,CUST448,5,3,False,,
209,FD411,SHIP15654,CUST463,11,2,True,Lost,Resolved
210,FD20564,SHIP8780,CUST597,5,4,False,,
211,FD20072,SHIP6713,CUST453,6,5,True,Damage,Unresolved
212,FD6064,SHIP9792,CUST742,8,5,False,,
213,FD10600,SHIP16753,CUST370,9,4,True,Delay,Resolved
214,FD7666,SHIP12029,CUST661,13,4,False,,
215,FD5570,SHIP18678,CUST458,12,1,False,,
216,FD480,SHIP5264,CUST468,11,4,False,,
217,FD8878,SHIP8322,CUST405,5,2,False,,
218,FD7903,SHIP15254,CUST210,8,3,True,Lost,Resolved
219,FD16976,SHIP2393,CUST621,10,1,True,Damage,Resolved
220,FD15811,SHIP5952,CUST245,13,3,True,Damage,Resolved
221,FD17932,SHIP22298,CUST564,9,4,True,Damage,Pending
222,FD24276,SHIP15550,CUST234,12,4,True,Wrong Address,Resolved
223,FD21015,SHIP16001,CUST749,10,1,True,Delay,Pending
224,FD6688,SHIP3527,CUST117,12,3,False,,
225,FD17263,SHIP4173,CUST421,1,2,True,Damage,Unresolved
226,FD10950,SHIP13205,CUST221,8,3,False,,
227,FD16362,SHIP18863,CUST397,7,4,True,Wrong Address,Resolved
228,FD19640,SHIP18595,CUST532,4,5,False,,
229,FD1808,SHIP23057,CUST311,4,3,True,Lost,Resolved
230,FD12841,SHIP22851,CUST259,5,4,True,Delay,Pending
231,FD13703,SHIP5821,CUST239,14,3,False,,
232,FD6363,SHIP22640,CUST444,8,5,False,,
233,FD14657,SHIP3616,CUST114,5,5,False,,
234,FD14769,SHIP19828,CUST451,13,1,False,,
235,FD22405,SHIP22810,CUST651,6,1,False,,
236,FD23703,SHIP20719,CUST55,6,1,False,,
237,FD19412,SHIP6872,CUST408,13,4,False,,
238,FD11038,SHIP22302,CUST15,3,4,True,Delay,Pending
239,FD21058,SHIP20919,CUST55,3,5,False,,
240,FD19040,SHIP18095,CUST425,13,3,True,Lost,Resolved
241,FD18467,SHIP9014,CUST595,2,5,False,,
242,FD10327,SHIP13631,CUST374,13,5,False,,
243,FD17931,SHIP20536,CUST748,13,1,False,,
244,FD19139,SHIP7819,CUST144,2,5,False,,
245,FD4551,SHIP22451,CUST740,11,3,True,Lost,Unresolved
246,FD3673,SHIP21193,CUST585,2,2,True,Lost,Pending
247,FD12423,SHIP2156,CUST420,1,4,True,Delay,Resolved
248,FD12264,SHIP11771,CUST649,9,2,True,Wrong Address,Unresolved
249,FD13405,SHIP13950,CUST287,6,4,False,,
250,FD20455,SHIP14936,CUST672,13,3,False,,
251,FD21362,SHIP11593,CUST530,8,5,False,,
252,FD19118,SHIP12357,CUST66,12,4,True,Lost,Unresolved
253,FD10962,SHIP7695,CUST431,8,4,False,,
254,FD9065,SHIP17769,CUST506,12,3,True,Damage,Unresolved
255,FD6136,SHIP2259,CUST640,6,3,True,Wrong Address,Pending
256,FD18428,SHIP52,CUST382,14,4,True,Damage,Unresolved
257,FD11269,SHIP15564,CUST162,1,5,False,,
258,FD20288,SHIP17058,CUST580,3,1,False,,
259,FD14294,SHIP20185,CUST86,1,5,False,,
260,FD6287,SHIP14880,CUST152,5,2,True,Delay,Unresolved
261,FD3935,SHIP4579,CUST360,9,4,False,,
262,FD5933,SHIP14720,CUST275,12,2,True,Wrong Address,Unresolved
263,FD19577,SHIP24034,CUST441,6,1,True,Delay,Unresolved
264,FD23573,SHIP8925,CUST671,1,5,False,,
265,FD2376,SHIP11598,CUST155,10,5,True,Delay,Unresolved
266,FD22928,SHIP1499,CUST94,5,5,True,Delay,Pending
267,FD3548,SHIP21778,CUST679,3,1,False,,
268,FD20039,SHIP20811,CUST641,9,2,True,Delay,Unresolved
